Latitude(deg.),Longitude(deg.),Slant_Range(m),Incidence_Angle(deg.)
-80.353633,80.321119,110641.128965,24.509550
-80.352481,80.211324,110944.907803,24.774049
-80.351228,80.094815,111248.407902,25.058368
-80.349747,79.959399,111551.482492,25.399893
-80.348298,79.832076,111854.633312,25.715839
-80.346921,79.715582,112158.526880,25.997655
-80.345625,79.609791,112462.616756,26.245885
-80.344177,79.493496,112766.460043,26.525616
-80.342945,79.398883,113071.111624,26.738030
-80.354168,80.320089,110641.091457,24.512119
-80.353016,80.210243,110944.879485,24.776752
-80.351766,80.093964,111248.398702,25.060342
-80.350291,79.959249,111551.501891,25.399691
-80.348846,79.832185,111854.655375,25.714821
-80.347466,79.715395,112158.521587,25.997530
-80.346162,79.608899,112462.577477,26.247911
-80.344713,79.492623,112766.437168,26.527562
-80.343476,79.397598,113071.074005,26.741225
-80.354705,80.319074,110641.063374,24.514644
-80.353552,80.209162,110944.851840,24.779457
-80.352303,80.093062,111248.384278,25.062474
-80.350831,79.958646,111551.440541,25.400898
-80.349393,79.832284,111854.683209,25.713834
-80.348010,79.715232,112158.506596,25.997336
-80.346698,79.607983,112462.536993,26.250009
-80.345250,79.491765,112766.408566,26.529461
-80.344008,79.396323,113071.037511,26.744384
-80.355241,80.317980,110641.031366,24.517408
-80.354088,80.208086,110944.825635,24.782143
-80.352841,80.092256,111248.358664,25.064317
-80.351370,79.957942,111551.387534,25.402413
-80.349940,79.832350,111854.713125,25.712946
-80.348554,79.714982,112158.478013,25.997412
-80.347233,79.607012,112462.489323,26.252280
-80.345787,79.490956,112766.381572,26.531208
-80.344540,79.395097,113071.003388,26.747393
-80.355777,80.316842,110640.998042,24.520306
-80.354624,80.207017,110944.800240,24.784811
-80.353380,80.091447,111248.325115,25.066168
-80.351910,79.957302,111551.314215,25.403734
-80.350486,79.832388,111854.746054,25.712144
-80.349097,79.714721,112158.441692,25.997524
-80.347768,79.606025,112462.441764,26.254598
-80.346324,79.490164,112766.359374,26.532906
-80.345072,79.393894,113070.970101,26.750332
-80.356310,80.315508,110640.956498,24.523808
-80.355160,80.205962,110944.778092,24.787434
-80.353917,80.090596,111248.311399,25.068144
-80.352450,79.956688,111551.241739,25.404975
-80.351031,79.832300,111854.749891,25.711733
-80.349639,79.714340,112158.395818,25.998003
-80.348303,79.605021,112462.402734,26.256967
-80.346862,79.489402,112766.344502,26.534507
-80.345608,79.393022,113070.946396,26.752254
-80.356844,80.314175,110640.917251,24.527305
-80.355696,80.204918,110944.756816,24.790020
-80.354455,80.089803,111248.304882,25.069941
-80.352990,79.956152,111551.185087,25.405974
-80.351576,79.832185,111854.752176,25.711408
-80.350180,79.713898,112158.340507,25.998674
-80.348839,79.604024,112462.370971,26.259313
-80.347400,79.488662,112766.332464,26.536038
-80.346145,79.392173,113070.922290,26.754110
-80.357378,80.312899,110640.879828,24.530627
-80.356232,80.203898,110944.737880,24.792535
-80.354995,80.089104,111248.290735,25.071448
-80.353532,79.955703,111551.158911,25.406699
-80.352121,79.832082,111854.757517,25.711045
-80.350720,79.713295,112158.288004,25.999834
-80.349374,79.603044,112462.343945,26.261601
-80.347938,79.487939,112766.321822,26.537519
-80.346682,79.391376,113070.899772,26.755800
