PSR_ID,lat,lon,area_km2,px_with_radar_data,high_tier_fraction,moderate_plus_fraction
SP_821760_0111040,-82.174,11.11,300.589,2,1.0,1.0
SP_811420_0983240,-81.142,98.324,5.818,1,1.0,1.0
SP_821220_2853910,-82.122,285.391,10.788,30,1.0,1.0
SP_842420_0421060,-84.242,42.106,25.463,87,0.9770114942528736,1.0
SP_817950_1586580,-81.795,158.658,43.429,80,0.9625,1.0
SP_832640_0090770,-83.264,9.077,32.494,113,0.9469026548672567,1.0
SP_820160_2631910,-82.016,263.191,7.2,20,0.9,1.0
SP_810640_3383670,-81.064,338.367,30.669,15,0.8,1.0
SP_830080_0535120,-83.008,53.512,22.471,132,0.7727272727272727,0.8409090909090909
SP_803440_2408640,-80.344,240.864,7.815,13,0.7692307692307693,0.8461538461538461
SP_811360_2696810,-81.136,269.681,7.186,39,0.7435897435897436,1.0
SP_840980_0797630,-84.098,79.764,14.234,84,0.7380952380952381,0.8928571428571429
SP_819860_1568660,-81.986,156.866,10.735,63,0.6984126984126984,0.7777777777777778
SP_809570_2454450,-80.957,245.445,9.198,52,0.6538461538461539,0.7692307692307693
SP_828390_0052930,-82.839,5.293,9.918,44,0.6363636363636364,0.9090909090909091
SP_843920_1135430,-84.392,113.543,8.942,54,0.6296296296296297,0.8333333333333334
SP_813450_1950160,-81.345,195.016,7.512,44,0.6136363636363636,0.75
SP_806880_0857630,-80.688,85.763,300.24,191,0.6020942408376964,0.8900523560209425
SP_808300_2825240,-80.83,282.524,23.731,138,0.6014492753623188,0.8913043478260869
SP_843960_1621040,-84.396,162.104,32.076,75,0.5866666666666667,0.7333333333333333
SP_818790_1353780,-81.879,135.378,16.276,96,0.5625,0.7395833333333334
SP_823350_2167510,-82.335,216.751,16.088,41,0.5609756097560976,0.9512195121951219
SP_860110_2096940,-86.011,209.694,6.39,38,0.5526315789473685,0.7368421052631579
SP_839400_0748820,-83.94,74.882,5.062,29,0.5517241379310345,0.8620689655172413
SP_875930_3125710,-87.593,312.57,101.851,592,0.5506756756756757,0.8547297297297297
SP_820970_2909760,-82.097,290.976,9.187,54,0.5185185185185185,0.7962962962962963
SP_848000_0437590,-84.8,43.759,6.912,41,0.5121951219512195,0.8536585365853658
SP_813110_2434290,-81.311,243.429,8.583,51,0.5098039215686274,0.7843137254901961
SP_799960_1284580,-79.996,128.458,6.382,2,0.5,1.0
SP_820160_2479830,-82.016,247.983,5.011,2,0.5,1.0
SP_821070_1910430,-82.107,191.043,7.701,37,0.4864864864864865,0.7567567567567568
SP_806990_2609570,-80.699,260.957,46.166,252,0.4801587301587302,0.8809523809523809
SP_839380_1322510,-83.938,132.251,5.774,34,0.47058823529411764,0.9117647058823529
SP_856880_1382610,-85.688,138.261,6.077,39,0.46153846153846156,0.8205128205128205
SP_825930_2151660,-82.593,215.166,6.682,38,0.4473684210526316,0.868421052631579
SP_833590_2639010,-83.359,263.901,8.111,45,0.4444444444444444,0.9111111111111111
SP_835090_2977670,-83.509,297.768,17.467,104,0.4230769230769231,0.8365384615384616
SP_824430_1935820,-82.443,193.582,5.501,31,0.41935483870967744,0.6451612903225806
SP_805100_2821250,-80.51,282.125,8.165,48,0.4166666666666667,0.8541666666666666
SP_853570_0498630,-85.357,49.866,139.594,330,0.41515151515151516,0.8181818181818182
SP_803140_1948670,-80.314,194.867,26.77,157,0.4012738853503185,0.6878980891719745
SP_820100_2831290,-82.01,283.129,8.016,45,0.4,0.8
SP_811330_2793740,-81.133,279.374,7.805,46,0.391304347826087,0.8043478260869565
SP_850230_1826070,-85.023,182.607,371.657,1723,0.3784097504352873,0.7568195008705746
SP_819070_2456410,-81.907,245.641,7.29,43,0.37209302325581395,0.9534883720930233
SP_877030_1108490,-87.703,110.849,5.526,35,0.37142857142857144,0.6285714285714286
SP_838740_2774750,-83.874,277.475,9.364,57,0.3684210526315789,0.8245614035087719
