PSR_ID,lat,lon,area_km2,px_with_radar_data,high_tier_fraction,moderate_plus_fraction,anomaly_score,is_anomaly_iforest_label,anomaly_rank
SP_874930_3578760,-87.493,357.877,1017.976,5761,0.032459642,0.261065787,0.28965615,TRUE,1
SP_880260_0452790,-88.026,45.279,1075.518,2968,0.026617251,0.244946092,0.249003968,TRUE,2
SP_871460_0840750,-87.146,84.075,663.959,2723,0.148365773,0.703268454,0.21700596,TRUE,3
SP_821760_0111040,-82.174,11.11,300.589,2,1,1,0.212926479,TRUE,4
SP_850230_1826070,-85.023,182.607,371.657,1723,0.37840975,0.756819501,0.171766167,TRUE,5
SP_838910_1184700,-83.891,118.47,326.804,1910,0.361780105,0.605759162,0.165250134,TRUE,6
SP_835240_0910150,-83.524,91.015,439.222,2567,0.144526685,0.617452279,0.162027306,TRUE,7
SP_882490_2164550,-88.249,216.455,548.953,2233,0.014778325,0.322884013,0.157581107,TRUE,8
SP_806880_0857630,-80.688,85.763,300.24,191,0.602094241,0.890052356,0.157149517,TRUE,9
SP_844580_3134320,-84.458,313.432,315.029,1784,0.003363229,0.101457399,0.142423237,TRUE,10
SP_816910_3053810,-81.69,305.38,377.809,2005,0.013466334,0.221945137,0.131215016,TRUE,11
SP_832640_0090770,-83.264,9.077,32.494,113,0.946902655,1,0.120283839,TRUE,12
SP_867440_0218610,-86.744,21.858,237.51,1390,0.012230216,0.145323741,0.112941354,TRUE,13
SP_817950_1586580,-81.795,158.658,43.429,80,0.9625,1,0.108615165,TRUE,14
SP_811420_0983240,-81.142,98.324,5.818,1,1,1,0.099979866,TRUE,15
SP_842420_0421060,-84.242,42.106,25.463,87,0.977011494,1,0.099233505,TRUE,16
SP_883120_2691430,-88.312,269.144,243.392,1246,0.221508828,0.621990369,0.098670567,TRUE,17
SP_875930_3125710,-87.593,312.57,101.851,592,0.550675676,0.85472973,0.096332646,TRUE,18
SP_896450_1282030,-89.645,128.203,233.698,187,0.315508021,0.502673797,0.079157851,TRUE,19
SP_821220_2853910,-82.122,285.391,10.788,30,1,1,0.077986277,TRUE,20
SP_837400_1630860,-83.739,163.086,194.861,1138,0.005272408,0.322495606,0.064235298,TRUE,21
SP_810640_3383670,-81.064,338.367,30.669,15,0.8,1,0.063341298,TRUE,22
SP_841420_0059530,-84.142,5.947,194.951,661,0.287443268,0.76096823,0.062873397,TRUE,23
SP_820160_2631910,-82.016,263.191,7.2,20,0.9,1,0.058921771,TRUE,24
SP_845510_0602900,-84.552,60.281,183.107,1064,0.051691729,0.380639098,0.052902791,TRUE,25
SP_881000_1147820,-88.1,114.79,183.312,819,0.030525031,0.2002442,0.051988607,TRUE,26
