site_id,role,final_classification,pct_ICE,pct_NON_ICE,pct_UNRESOLVED,pct_PARTIAL_ICE_CONSISTENT_diagnostic_only,cpr_mean,dop_mean,backscatter_db_mean,temperature_K,temperature_status,illumination_value,illumination_status,n_valid_px
SP_840980_0797630,PRISM candidate (primary),NON_ICE,0.0,100.0,0.0,0.0,0.6347002796085699,0.4219598896822821,-13.872357550991309,84.3,PASS,0.0,PASS,3721
SP_832640_0090770,PRISM candidate,NON_ICE,0.0,100.0,0.0,0.0,0.8144574047184796,0.4042347812100105,-14.63283477112749,135.0,FAIL,0.0,PASS,3721
SP_830080_0535120,PRISM candidate,NON_ICE,0.0,100.0,0.0,0.0,0.9490699159932856,0.3575602449022352,-13.316861487286706,156.7,FAIL,0.0,PASS,3721
SP_842420_0421060,PRISM candidate,NON_ICE,0.0,100.0,0.0,0.0,0.6723396916424499,0.4241562090245171,-14.418827501939743,134.1,FAIL,0.0,PASS,3721
SP_817950_1586580,PRISM candidate,NON_ICE,0.0,100.0,0.0,0.0,0.7968876001263612,0.415724325894041,-15.3674947181896,118.9,FAIL,0.0,PASS,3721
SP_819860_1568660,PRISM candidate,NON_ICE,0.0,100.0,0.0,0.0,0.6489026910528628,0.4383773135866345,-12.727383663245108,102.7,PASS,0.0,PASS,3721
SP_809570_2454450,PRISM candidate,NON_ICE,0.0,100.0,0.0,0.0,0.7048057879415567,0.4189722679108858,-18.07267535444306,144.3,FAIL,0.0,PASS,3721
LCROSS_Cabeus,POSITIVE CONTROL (LCROSS),NON_ICE,0.0,100.0,0.0,0.0,1.0915988055115882,0.3788015259613316,-24.39175011206576,45.8,PASS,0.0022422,PASS,3721
Wiechert,NEGATIVE CONTROL (M3),NON_ICE,0.0,100.0,0.0,0.0,0.5865082480444566,0.4671072197894086,-14.760434374836557,267.2,FAIL,0.053103,PASS,3721
Faustini,M3-positive reference site (Li et al. 2018); PM4W's own paper flags Faustini for follow-up,NON_ICE,0.0,100.0,0.0,0.0,0.5657197623202402,0.4566559748972543,-13.12131837864951,51.833,PASS,0.023,PASS,3721
