site_id,role,lat_deg,lon_deg,temp_max_K,temperature_threshold_K,distance_to_nearest_centroid_km,n_mesh_rows_searched,gate_status,rationale,source_product,source_file,extracted_at_utc
SP_840980_0797630,PRISM candidate (primary),-84.098,79.764,84.257,110.0,0.14482158095299227,2880000,PASS,SP_840980_0797630: Tmax=84.3K is below the 110K cold-trap threshold (Li et al. 2018) -> PASS. Nearest Diviner mesh centroid 0.145 km away.,"LRO-L-DLRE-4-RDR-V1 (Polar Resource Product, south)",data/raw/diviner/dlre_prp_south.tab,2026-09-17T09:22:02.659709+00:00
SP_832640_0090770,PRISM candidate,-83.264,9.077,135.019,110.0,0.06169507727212973,2880000,FAIL,SP_832640_0090770: Tmax=135.0K is at/above the 110K cold-trap threshold (Li et al. 2018) -> FAIL. Nearest Diviner mesh centroid 0.062 km away.,"LRO-L-DLRE-4-RDR-V1 (Polar Resource Product, south)",data/raw/diviner/dlre_prp_south.tab,2026-09-17T09:22:02.659709+00:00
SP_830080_0535120,PRISM candidate,-83.008,53.512,156.683,110.0,0.2586098901992284,2880000,FAIL,SP_830080_0535120: Tmax=156.7K is at/above the 110K cold-trap threshold (Li et al. 2018) -> FAIL. Nearest Diviner mesh centroid 0.259 km away.,"LRO-L-DLRE-4-RDR-V1 (Polar Resource Product, south)",data/raw/diviner/dlre_prp_south.tab,2026-09-17T09:22:02.659709+00:00
SP_842420_0421060,PRISM candidate,-84.242,42.106,134.069,110.0,0.23347520337882352,2880000,FAIL,SP_842420_0421060: Tmax=134.1K is at/above the 110K cold-trap threshold (Li et al. 2018) -> FAIL. Nearest Diviner mesh centroid 0.233 km away.,"LRO-L-DLRE-4-RDR-V1 (Polar Resource Product, south)",data/raw/diviner/dlre_prp_south.tab,2026-09-17T09:22:02.659709+00:00
SP_817950_1586580,PRISM candidate,-81.795,158.658,118.853,110.0,0.19665621608971712,2880000,FAIL,SP_817950_1586580: Tmax=118.9K is at/above the 110K cold-trap threshold (Li et al. 2018) -> FAIL. Nearest Diviner mesh centroid 0.197 km away.,"LRO-L-DLRE-4-RDR-V1 (Polar Resource Product, south)",data/raw/diviner/dlre_prp_south.tab,2026-09-17T09:22:02.659709+00:00
SP_819860_1568660,PRISM candidate,-81.986,156.866,102.672,110.0,0.21293457323594459,2880000,PASS,SP_819860_1568660: Tmax=102.7K is below the 110K cold-trap threshold (Li et al. 2018) -> PASS. Nearest Diviner mesh centroid 0.213 km away.,"LRO-L-DLRE-4-RDR-V1 (Polar Resource Product, south)",data/raw/diviner/dlre_prp_south.tab,2026-09-17T09:22:02.659709+00:00
SP_809570_2454450,PRISM candidate,-80.957,245.445,144.327,110.0,0.032727864683402184,2880000,FAIL,SP_809570_2454450: Tmax=144.3K is at/above the 110K cold-trap threshold (Li et al. 2018) -> FAIL. Nearest Diviner mesh centroid 0.033 km away.,"LRO-L-DLRE-4-RDR-V1 (Polar Resource Product, south)",data/raw/diviner/dlre_prp_south.tab,2026-09-17T09:22:02.659709+00:00
Faustini,"M3-positive reference (Sinha et al. 2026), canonical PSR-ID centroid",-87.146,84.075,66.882,110.0,0.1334290039171043,2880000,PASS,Faustini: Tmax=66.9K is below the 110K cold-trap threshold (Li et al. 2018) -> PASS. Nearest Diviner mesh centroid 0.133 km away.,"LRO-L-DLRE-4-RDR-V1 (Polar Resource Product, south)",data/raw/diviner/dlre_prp_south.tab,2026-09-17T09:22:02.659709+00:00
LCROSS_Cabeus,"POSITIVE CONTROL (LCROSS), canonical PSR-ID centroid",-84.458,-46.568,63.486,110.0,0.20380800341322963,2880000,PASS,LCROSS_Cabeus: Tmax=63.5K is below the 110K cold-trap threshold (Li et al. 2018) -> PASS. Nearest Diviner mesh centroid 0.204 km away.,"LRO-L-DLRE-4-RDR-V1 (Polar Resource Product, south)",data/raw/diviner/dlre_prp_south.tab,2026-09-17T09:22:02.659709+00:00
Wiechert,"NEGATIVE CONTROL (M3), bonus -- outside Phase 2's formal 9-site scope",-84.5,165.0,267.171,110.0,0.21816829258233514,2880000,FAIL,Wiechert: Tmax=267.2K is at/above the 110K cold-trap threshold (Li et al. 2018) -> FAIL. Nearest Diviner mesh centroid 0.218 km away.,"LRO-L-DLRE-4-RDR-V1 (Polar Resource Product, south)",data/raw/diviner/dlre_prp_south.tab,2026-09-17T09:22:02.659709+00:00
