epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,train/sem_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,val/sem_loss,lr/pg0,lr/pg1,lr/pg2
1,390.667,3.44038,3.48899,2.18787,0.84909,0,0.35013,0.32774,0.23887,0.0643,0.19064,0.2489,0.09791,0.02054,3.07083,2.81646,1.74792,0.78992,0,0.000663805,0.000663805,0.000663805
2,745.944,3.14666,2.97964,1.68328,0.77569,0,0.45154,0.41139,0.34415,0.09783,0.24486,0.28803,0.13853,0.02909,2.90203,2.71786,1.76046,0.77639,0,0.00130413,0.00130413,0.00130413
3,1129.63,3.10121,2.90713,1.6026,0.76466,0,0.47869,0.42999,0.38621,0.11919,0.25619,0.30778,0.15326,0.03379,2.73394,2.68892,1.54638,0.77375,0,0.00191805,0.00191805,0.00191805
4,1487.44,3.03802,2.83322,1.567,0.7611,0,0.42779,0.40228,0.32173,0.08945,0.19168,0.22972,0.0896,0.0172,2.93497,2.73053,1.73606,0.78843,0,0.0018812,0.0018812,0.0018812
5,1839.33,2.9745,2.76063,1.5225,0.75803,0,0.50164,0.46871,0.4234,0.13394,0.25212,0.29935,0.1441,0.02936,2.67758,2.57655,1.44962,0.76714,0,0.0018416,0.0018416,0.0018416
6,2223.14,2.94476,2.73498,1.49924,0.75135,0,0.48955,0.44809,0.3997,0.11939,0.238,0.28775,0.13315,0.0247,2.8122,2.55904,1.52092,0.76835,0,0.001802,0.001802,0.001802
7,2583.67,2.91092,2.73363,1.46884,0.75084,0,0.52781,0.48171,0.4526,0.14963,0.27661,0.32518,0.17016,0.0354,2.60937,2.49564,1.37002,0.76652,0,0.0017624,0.0017624,0.0017624
8,3042.66,2.89044,2.71695,1.4565,0.75117,0,0.53403,0.47936,0.45811,0.14943,0.25234,0.28696,0.14236,0.02826,2.63733,2.49989,1.45454,0.76633,0,0.0017228,0.0017228,0.0017228
9,3406.13,2.88233,2.73523,1.43884,0.74944,0,0.55277,0.49928,0.48327,0.16098,0.25951,0.29914,0.1522,0.02952,2.59047,2.49221,1.48312,0.76254,0,0.0016832,0.0016832,0.0016832
10,3789.12,2.86688,2.70974,1.45388,0.74554,0,0.53366,0.48383,0.45083,0.14134,0.2688,0.3128,0.15394,0.03151,2.66162,2.53366,1.45106,0.76713,0,0.0016436,0.0016436,0.0016436
11,4244.31,2.81401,2.65614,1.40914,0.74986,0,0.54054,0.50718,0.47819,0.15893,0.26738,0.30992,0.15519,0.03039,2.57659,2.49653,1.44242,0.76257,0,0.001604,0.001604,0.001604
12,4617.83,2.80626,2.6538,1.41186,0.74713,0,0.52174,0.469,0.44674,0.14542,0.26666,0.3233,0.16684,0.03516,2.62849,2.5228,1.35743,0.76689,0,0.0015644,0.0015644,0.0015644
13,4941.6,2.82062,2.61453,1.39585,0.74595,0,0.57247,0.5073,0.50049,0.17047,0.29618,0.31794,0.18157,0.03809,2.5771,2.42926,1.44052,0.76383,0,0.0015248,0.0015248,0.0015248
14,5334.71,2.79555,2.60536,1.39833,0.74415,0,0.57215,0.51385,0.50632,0.16954,0.2959,0.33004,0.18415,0.03801,2.56199,2.4822,1.32862,0.76008,0,0.0014852,0.0014852,0.0014852
15,5707.48,2.81485,2.62309,1.39699,0.74126,0,0.55354,0.49294,0.48062,0.15964,0.30343,0.33576,0.19336,0.04067,2.59823,2.55279,1.33253,0.76496,0,0.0014456,0.0014456,0.0014456
16,6069.75,2.77865,2.6173,1.38456,0.74516,0,0.54797,0.49784,0.48705,0.16617,0.30033,0.33469,0.19252,0.0403,2.5561,2.45704,1.33311,0.76293,0,0.001406,0.001406,0.001406
17,6416.73,2.7945,2.61445,1.35815,0.74083,0,0.57624,0.52039,0.51851,0.18188,0.28306,0.33054,0.17647,0.03531,2.4879,2.43923,1.2935,0.75953,0,0.0013664,0.0013664,0.0013664
18,6780.3,2.78476,2.60225,1.36099,0.73879,0,0.5814,0.5273,0.52759,0.18514,0.31427,0.33613,0.19824,0.04051,2.49209,2.40408,1.28523,0.76153,0,0.0013268,0.0013268,0.0013268
19,7134.13,2.75256,2.59203,1.35394,0.74247,0,0.58469,0.52804,0.52554,0.18396,0.28089,0.31453,0.16768,0.03246,2.49598,2.44514,1.33407,0.75936,0,0.0012872,0.0012872,0.0012872
20,7484.75,2.75797,2.58612,1.3755,0.73869,0,0.58213,0.53018,0.52481,0.17858,0.28696,0.32878,0.17532,0.03531,2.52508,2.43578,1.38621,0.7614,0,0.0012476,0.0012476,0.0012476
21,7921.43,2.73551,2.58195,1.35371,0.7428,0,0.58789,0.52141,0.52316,0.18301,0.31586,0.33457,0.20038,0.04173,2.4788,2.43528,1.30245,0.75662,0,0.001208,0.001208,0.001208
22,8298.59,2.73582,2.57994,1.34436,0.7411,0,0.58243,0.50562,0.51037,0.17115,0.26749,0.32231,0.15957,0.03065,2.54937,2.52427,1.30782,0.75893,0,0.0011684,0.0011684,0.0011684
23,8626.65,2.73988,2.5726,1.33225,0.73823,0,0.60129,0.54022,0.54472,0.19168,0.29526,0.33152,0.18541,0.03829,2.47523,2.36856,1.34778,0.76062,0,0.0011288,0.0011288,0.0011288
24,8948.96,2.71629,2.58143,1.33317,0.74641,0,0.587,0.51644,0.51946,0.17407,0.27852,0.32457,0.16677,0.03227,2.52869,2.39982,1.28361,0.7595,0,0.0010892,0.0010892,0.0010892
25,9287.85,2.71379,2.54617,1.32624,0.74079,0,0.58938,0.54565,0.53488,0.18039,0.29916,0.32074,0.17161,0.03312,2.50336,2.42781,1.48382,0.75456,0,0.0010496,0.0010496,0.0010496
26,9633.16,2.71844,2.56282,1.31803,0.74043,0,0.58042,0.51738,0.51317,0.17584,0.31419,0.34222,0.19812,0.04225,2.51178,2.38528,1.2923,0.75904,0,0.00101,0.00101,0.00101
27,9987.67,2.7162,2.51738,1.31805,0.73653,0,0.60712,0.54429,0.55054,0.19629,0.29694,0.32862,0.17938,0.03558,2.4561,2.36387,1.3319,0.75956,0,0.0009704,0.0009704,0.0009704
