epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,train/sem_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,val/sem_loss,lr/pg0,lr/pg1,lr/pg2
1,325.974,2.81224,2.86597,1.41145,0.75731,0,0.57884,0.5099,0.50345,0.15664,0.26864,0.31058,0.15436,0.02967,2.61533,2.62314,1.34055,0.76268,0,0.000663805,0.000663805,0.000663805
2,658.866,2.77638,2.83125,1.40458,0.75966,0,0.54772,0.48533,0.46597,0.14337,0.25684,0.29848,0.15199,0.02986,2.7047,2.79417,1.36239,0.76552,0,0.00128657,0.00128657,0.00128657
3,994.407,2.81707,2.8449,1.41574,0.75552,0,0.49522,0.44114,0.39636,0.10151,0.18496,0.27964,0.09227,0.01567,2.84837,2.97662,1.41414,0.7774,0,0.00186533,0.00186533,0.00186533
4,1381.67,2.81884,2.84534,1.41079,0.75572,0,0.55995,0.48414,0.47686,0.14783,0.26429,0.31334,0.15832,0.03145,2.66688,2.82313,1.32339,0.76397,0,0.001802,0.001802,0.001802
5,1789.11,2.79073,2.80492,1.4107,0.7568,0,0.54951,0.49001,0.46302,0.13978,0.26298,0.27713,0.14126,0.02746,2.72993,2.96149,1.5636,0.77095,0,0.001736,0.001736,0.001736
6,2232.12,2.81603,2.84302,1.40614,0.75464,0,0.54135,0.48336,0.4603,0.14142,0.26573,0.32239,0.16082,0.03305,2.6551,2.75283,1.33809,0.76135,0,0.00167,0.00167,0.00167
7,2660.06,2.78365,2.81289,1.38998,0.75266,0,0.50872,0.43694,0.4097,0.11481,0.21006,0.27787,0.11456,0.02024,2.82699,2.87233,1.40002,0.77263,0,0.001604,0.001604,0.001604
8,3068.39,2.78398,2.80015,1.38336,0.7556,0,0.5771,0.50977,0.50095,0.15905,0.25856,0.2919,0.14757,0.02795,2.61891,2.70744,1.41262,0.76157,0,0.001538,0.001538,0.001538
9,3476.5,2.78549,2.80193,1.37438,0.75316,0,0.55248,0.49208,0.4714,0.13877,0.21672,0.28568,0.11675,0.02071,2.7112,2.91177,1.3704,0.76617,0,0.001472,0.001472,0.001472
10,3879.39,2.7747,2.82154,1.38374,0.75134,0,0.53797,0.48854,0.45429,0.13328,0.25941,0.29692,0.14718,0.02774,2.71206,2.89249,1.39742,0.76335,0,0.001406,0.001406,0.001406
11,4254.31,2.73171,2.75802,1.359,0.75418,0,0.56115,0.49364,0.47825,0.14054,0.26998,0.31594,0.16417,0.03171,2.7498,2.88798,1.29282,0.76598,0,0.00134,0.00134,0.00134
12,4588.13,2.74511,2.77994,1.36712,0.75405,0,0.55541,0.48702,0.47147,0.14261,0.26863,0.30984,0.16474,0.0327,2.7164,2.76805,1.34766,0.76923,0,0.001274,0.001274,0.001274
13,4926.16,2.76479,2.78928,1.35257,0.75278,0,0.55797,0.48232,0.46504,0.13348,0.25078,0.29293,0.14603,0.0277,2.75414,2.834,1.32169,0.76823,0,0.001208,0.001208,0.001208
14,5263,2.7408,2.76052,1.35359,0.7515,0,0.56358,0.49603,0.4772,0.13972,0.23672,0.28039,0.13027,0.02473,2.72618,2.89173,1.38672,0.76939,0,0.001142,0.001142,0.001142
15,5634.82,2.76113,2.77866,1.35809,0.74917,0,0.56603,0.4805,0.47001,0.13605,0.25933,0.3105,0.15541,0.03157,2.74123,2.88049,1.29595,0.7725,0,0.001076,0.001076,0.001076
16,5966.8,2.72093,2.74862,1.34897,0.75332,0,0.54842,0.47278,0.45797,0.13131,0.22145,0.28091,0.12533,0.02322,2.74531,2.81153,1.33854,0.76986,0,0.00101,0.00101,0.00101
17,6318.23,2.75875,2.73376,1.33837,0.7472,0,0.56283,0.50706,0.48542,0.14628,0.25729,0.29009,0.1511,0.02895,2.69368,2.81976,1.34949,0.76402,0,0.000944,0.000944,0.000944
18,6663.46,2.74857,2.74531,1.33956,0.74675,0,0.59762,0.51389,0.52258,0.17281,0.31278,0.35008,0.21101,0.04537,2.55907,2.65599,1.24924,0.75884,0,0.000878,0.000878,0.000878
19,7013.85,2.71445,2.71939,1.33154,0.75017,0,0.59139,0.51985,0.51886,0.1626,0.25675,0.31396,0.15763,0.03019,2.62008,2.62651,1.29052,0.76221,0,0.000812,0.000812,0.000812
20,7360.66,2.72734,2.74366,1.34073,0.74785,0,0.59357,0.52693,0.51409,0.15688,0.28232,0.31243,0.16733,0.03267,2.66238,2.65464,1.3396,0.76115,0,0.000746,0.000746,0.000746
21,7668.4,2.56093,2.63401,1.30899,0.76169,0,0.57913,0.5166,0.50517,0.15104,0.24626,0.3079,0.14124,0.02769,2.65086,2.74051,1.27226,0.76009,0,0.00068,0.00068,0.00068
22,7989.21,2.59877,2.64038,1.30206,0.75642,0,0.58995,0.52736,0.51868,0.16075,0.26838,0.31424,0.16162,0.03262,2.62901,2.69097,1.32112,0.76142,0,0.000614,0.000614,0.000614
23,8291.4,2.56675,2.6419,1.28657,0.76013,0,0.58853,0.52812,0.51267,0.15434,0.26091,0.30679,0.15027,0.0281,2.6669,2.80795,1.31516,0.76153,0,0.000548,0.000548,0.000548
24,8611.4,2.56626,2.62219,1.27939,0.75695,0,0.61149,0.53469,0.5383,0.17233,0.27472,0.32866,0.16941,0.03266,2.57724,2.64018,1.2401,0.75837,0,0.000482,0.000482,0.000482
